protocol,distribution,source_file,prompt_file
batch,Uniform,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Uniform/Code/test_batch_generation.py,prompts/batch/Uniform.txt
batch,Gaussian,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Gaussian/Code/test_batch_generation.py,prompts/batch/Gaussian.txt
batch,Bernoulli,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Bernoulli/Code/test_batch_generation.py,prompts/batch/Bernoulli.txt
batch,Beta,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Beta/Code/test_batch_generation.py,prompts/batch/Beta.txt
batch,Binomial,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Binomial/Code/test_batch_generation.py,prompts/batch/Binomial.txt
batch,Poisson,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Poisson/Code/test_batch_generation.py,prompts/batch/Poisson.txt
batch,Exponential,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Exponential/Code/test_batch_generation.py,prompts/batch/Exponential.txt
batch,Cauchy,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Cauchy/Code/test_batch_generation.py,prompts/batch/Cauchy.txt
batch,TDistribution,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/TDistribution/Code/test_batch_generation.py,prompts/batch/TDistribution.txt
batch,ChiSquare,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/ChiSquare/Code/test_batch_generation.py,prompts/batch/ChiSquare.txt
batch,FDistribution,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/FDistribution/Code/test_batch_generation.py,prompts/batch/FDistribution.txt
batch,Gamma,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Gamma/Code/test_batch_generation.py,prompts/batch/Gamma.txt
batch,Weibull,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Weibull/Code/test_batch_generation.py,prompts/batch/Weibull.txt
batch,Laplace,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Laplace/Code/test_batch_generation.py,prompts/batch/Laplace.txt
batch,Logistic,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Logistic/Code/test_batch_generation.py,prompts/batch/Logistic.txt
independent,Uniform,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Uniform/Code/test_independent_requests.py,prompts/independent/Uniform.txt
independent,Gaussian,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Gaussian/Code/test_independent_requests.py,prompts/independent/Gaussian.txt
independent,Bernoulli,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Bernoulli/Code/test_independent_requests.py,prompts/independent/Bernoulli.txt
independent,Beta,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Beta/Code/test_independent_requests.py,prompts/independent/Beta.txt
independent,Binomial,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Binomial/Code/test_independent_requests.py,prompts/independent/Binomial.txt
independent,Poisson,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Poisson/Code/test_independent_requests.py,prompts/independent/Poisson.txt
independent,Exponential,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Exponential/Code/test_independent_requests.py,prompts/independent/Exponential.txt
independent,Cauchy,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Cauchy/Code/test_independent_requests.py,prompts/independent/Cauchy.txt
independent,TDistribution,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/TDistribution/Code/test_independent_requests.py,prompts/independent/TDistribution.txt
independent,ChiSquare,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/ChiSquare/Code/test_independent_requests.py,prompts/independent/ChiSquare.txt
independent,FDistribution,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/FDistribution/Code/test_independent_requests.py,prompts/independent/FDistribution.txt
independent,Gamma,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Gamma/Code/test_independent_requests.py,prompts/independent/Gamma.txt
independent,Weibull,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Weibull/Code/test_independent_requests.py,prompts/independent/Weibull.txt
independent,Laplace,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Laplace/Code/test_independent_requests.py,prompts/independent/Laplace.txt
independent,Logistic,/shared/ssd_14T/home/mindazhao/LLM_Random_Distribution/Logistic/Code/test_independent_requests.py,prompts/independent/Logistic.txt
downstream,mcq_system,/shared/ssd_14T/home/mindazhao/LLM_Random_Man/final/prompt_mcq.tex,prompts/downstream/mcq_system.txt
downstream,mcq_user,/shared/ssd_14T/home/mindazhao/LLM_Random_Man/final/prompt_mcq.tex,prompts/downstream/mcq_user.txt
downstream,joint_attribute_system,/shared/ssd_14T/home/mindazhao/LLM_Random_Man/final/prompt_joint.tex,prompts/downstream/joint_attribute_system.txt
downstream,joint_attribute_user,/shared/ssd_14T/home/mindazhao/LLM_Random_Man/final/prompt_joint.tex,prompts/downstream/joint_attribute_user.txt
downstream,independent_gender,/shared/ssd_14T/home/mindazhao/LLM_Random_Man/prompt_distribution_exp/exp_gender_independent.py,prompts/downstream/independent_gender_user.txt
downstream,independent_race,/shared/ssd_14T/home/mindazhao/LLM_Random_Man/prompt_distribution_exp/exp_race_independent.py,prompts/downstream/independent_race_user.txt
